[-4.53737834e-01 9.53573500e-01;
 1.73700485e+00 -1.82380314e-01;
 8.01501920e-02 2.46899634e-01;
 1.69508483e-01 -9.39477896e-02;
 -8.85050419e-01 4.36397478e-01;
 1.84999581e-01 1.23866077e-03;
 5.08166314e-01 8.81923838e-01;
 1.10944415e+00 -5.03207589e-01;
 9.05194726e-01 5.08076870e-01;
 9.65079955e-01 4.04642268e-01;
 1.86074408e+00 2.12082326e-02;
 1.44402110e+00 -3.80934073e-01;
 -4.98173971e-02 9.47281973e-01;
 -4.73307906e-02 9.74570066e-01;
 1.77430140e+00 -3.58658195e-02;
 -3.37245448e-01 9.57704441e-01;
 1.01575376e+00 1.95882217e-01;
 5.36860106e-01 -3.28889889e-01;
 4.55604486e-01 -3.36667509e-01;
 4.33364748e-01 -3.03341130e-01;
 -2.30945252e-02 4.55732554e-01;
 1.94517604e+00 7.75384287e-02;
 5.20001284e-01 -4.70016178e-01;
 1.99443556e+00 3.49414449e-01;
 -9.85255951e-01 3.11149784e-01;
 1.98036629e+00 3.69103196e-01;
 -1.02809614e+00 1.37058435e-01;
 1.97839840e+00 1.86571579e-01;
 -1.02998031e+00 2.29629964e-01;
 6.62508079e-01 7.48436451e-01;
 1.77319913e+00 -1.52671229e-01;
 8.61560146e-01 -5.09854723e-01;
 1.68066665e-01 1.02210080e+00;
 -2.18693727e-02 3.25237688e-01;
 -4.71105108e-01 8.43730284e-01;
 -8.75796112e-01 3.18390758e-01;
 -7.69660314e-01 7.27470834e-01;
 8.75014010e-01 -5.01209026e-01;
 2.49216731e-01 8.48375466e-01;
 -5.81872996e-01 7.42141161e-01;
 9.63930086e-01 -4.86358479e-01;
 3.86214249e-01 9.35895053e-01;
 7.19430467e-01  6.49590661e-01;
 3.81982953e-01 -2.63553060e-01;
 8.15660200e-01 -5.30165320e-01;
 1.44617663e-01 1.01018086e+00;
 1.76403697e+00 -1.07957308e-01;
 1.32077754e+00 -4.63618359e-01;
 8.82961200e-01 4.21276961e-01;
 5.74102419e-04 1.02557387e+00;
 1.15145300e+00 -5.22189084e-01;
 -1.40734458e-01 9.92057035e-01;
 1.65056718e+00 -3.18049193e-01;
 -2.89661078e-01 9.87151130e-01;
 -7.67688367e-01 7.30983161e-01;
 -9.95272428e-01 3.27775757e-01;
 6.65414445e-01 -4.60877528e-01;
 8.96280672e-01 2.02369865e-01;
 -8.45406085e-01 5.09532774e-01;
 4.58860258e-01 9.29411692e-01;
 7.59317106e-01 -5.06234221e-01;
 8.26770316e-01 4.93572685e-01;
 1.45965540e+00 -3.89722058e-01;
 1.05767099e+00 -4.82458113e-01;
 -4.83892431e-01 9.02839275e-01;
 1.64490950e+00 -1.53981363e-01;
 1.94453791e+00 1.42547348e-01;
 -1.08637973e-01 9.94229064e-01;
 -8.05479320e-01 5.32947945e-01;
 7.99409768e-01  6.23690397e-01;
 1.06468348e+00 3.99057272e-04;
 1.02114452e+00  1.33046846e-01;
 -6.88342006e-01 8.70317264e-01;
 4.67647069e-01 7.93152862e-01;
 3.13451774e-01 -1.21532231e-01;
 1.53424502e+00 -3.05400927e-01;
 -1.00270834e+00 6.62212545e-03;
 6.97955685e-01 8.25809179e-01;
 -9.59891286e-01 4.22440401e-02;
 1.10756290e-01 -1.63669977e-01;
 -5.39730975e-01 8.53459475e-01;
 5.13970424e-02 3.94211394e-01;
 8.81213714e-01 3.81362675e-01;
 1.19523999e-01 4.00494880e-02;
 5.03549660e-01 8.79006078e-01;
 -8.82788680e-01 4.84947308e-01;
 5.96873093e-03 3.88384332e-01;
 1.97244752e+00 1.95058145e-01;
 1.34907528e+00 -4.27795282e-01;
 2.52055720e-01 9.64433340e-01;
 3.01844294e-01 -1.59401589e-01;
 9.54539672e-02 2.22322789e-01;
 9.81699544e-01 4.81164779e-02;
 1.26820039e+00 -4.40551665e-01;
 -3.82275908e-02 1.39870418e-01;
 2.00197097e+00 4.40654825e-01;
 1.98931630e+00 3.39991793e-01;
 1.35886951e+00 -3.98444164e-01;
 8.67032041e-01 6.46166780e-01;
 1.28810470e-01 -2.34094110e-03]
