[-3.73391223e+00 -6.77247883e-02;
   2.83756318e+00 -2.77758074e+00;
  -2.47365104e+00 -9.23309576e-01;
  -8.12346020e-02 -2.06190327e+00;
  -2.47779336e+00 -5.58783333e-01;
   7.20256141e-01 -1.60515895e+00;
  -1.71081871e+00 -1.70089687e-01;
   1.20827315e+00 -1.99238834e+00;
  -2.45879473e+00  1.91850610e-01;
  -1.48761688e+00 -7.31710164e+00;
  -4.12740927e-01 -7.99491738e+00;
   1.51832885e+00 -2.84693258e+00;
   2.05011464e+00 -2.64810040e+00;
  -1.67421178e+00 -5.43696341e+00;
  -3.10783709e+00  1.25321340e+00;
   2.75790827e+00  2.11785034e-01;
   6.39412119e-01 -3.44567275e+00;
  -8.39620104e-01 -6.71560997e+00;
  -2.64674287e+00 -7.73667234e+00;
   2.48008915e-01 -1.49788832e+00;
   5.97658079e-01 -2.50204039e+00;
   1.41985890e+00 -4.24577582e+00;
  -3.09711667e+00 -3.77708829e-01;
  -1.92884123e+00 -6.52815066e+00;
  -1.44861952e+00 -7.42524683e+00;
  -1.12382503e+00 -5.75901049e+00;
  -2.17389726e+00 -5.62898502e+00;
  -4.59248433e-01 -5.13447956e+00;
  -4.44970490e+00  1.75616249e-01;
   4.45822784e-01 -2.49625809e+00;
  -3.66112365e+00 -1.37228213e+00;
  -7.00833087e-01 -2.73078959e+00;
   2.11196918e+00 -2.59317067e+00;
  -1.93601223e+00 -6.97846478e+00;
  -4.49905721e+00  4.89639622e-01;
  -5.26015650e-01 -6.41811079e-01;
  -2.13367316e+00 -1.65808164e+00;
   1.61093521e+00 -3.10721504e+00;
  -6.10663806e+00 -9.61833869e-01;
  -8.20071368e-01  8.42772380e-02;
   1.45714139e+00 -1.26422610e+00;
   1.71617499e+00 -3.12573266e+00;
  -1.91551265e-01 -5.90256266e+00;
  -1.19418125e+00 -6.19082084e+00;
  -3.39646296e+00 -6.92948703e+00;
   1.49204234e+00 -3.34016085e+00;
  -1.10332006e+00 -2.95106686e+00;
  -6.10830200e-01 -6.72813762e+00;
   2.58500165e+00 -5.04332328e-01;
   5.00698630e-01 -3.88651694e+00;
  -2.32062873e+00 -3.65868443e-01;
  -3.60825680e+00 -1.27236626e+00;
  -2.85555886e-01 -6.19705800e+00;
  -4.36562466e+00 -1.38986780e+00;
  -1.92274730e+00 -7.55045998e+00;
   1.31832945e+00 -4.06234000e+00;
  -2.59399908e+00 -4.97669836e+00;
  -4.00610328e+00  6.32433074e-01;
  -2.04940136e+00  1.05580153e+00;
   8.02508850e-01 -6.01754124e-01;
  -2.08184526e+00 -7.09274266e+00;
  -2.50386823e+00 -5.72034578e+00;
  -1.97315926e+00 -6.69957524e+00;
  -4.06608858e+00  1.75569805e-01;
  -2.53157144e+00  1.90363946e+00;
   3.83416909e-01 -1.34151898e+00;
  -1.61291886e+00 -5.62608091e+00;
  -1.18486653e+00 -6.25165539e+00;
  -3.30443912e+00 -6.73464114e+00;
  -6.41395527e-01 -6.31946286e+00;
  -3.56303546e+00 -8.09604295e-01;
  -3.19067061e+00  3.68857262e-01;
   1.41624167e+00 -3.48470658e+00;
  -3.10034920e+00  1.61034073e+00;
  -2.17134232e+00 -2.25207172e+00;
  -1.49664086e+00 -5.18675516e+00;
  -2.43974294e+00 -8.19430754e-01;
   1.07300053e+00 -2.87456725e+00;
  -2.68733255e+00  6.93351316e-01;
  -1.08818719e-01 -2.98641709e+00;
   2.91788710e+00 -1.02637778e+00;
  -8.20912254e-01  1.46318290e+00;
  -8.60072587e-01 -6.89206480e+00;
  -1.50141675e+00  3.36294509e-01;
  -3.01094664e+00  3.43198289e-02;
   1.28492791e+00 -1.02459918e+00;
  -1.70540919e+00 -6.41470420e+00;
  -2.85500604e+00 -5.95060299e+00;
  -1.17719008e+00 -7.95570592e+00;
   1.81973949e+00 -1.45306422e+00;
  -3.65282149e+00 -7.12028590e+00;
  -1.61714404e+00  1.20418472e+00;
   3.93339511e-01 -2.72093807e+00;
  -2.21203377e+00 -9.30203166e-01;
  -2.75892077e+00 -1.61477603e+00;
  -3.74517319e+00  1.83126301e+00;
  -2.63560710e+00 -7.14967338e+00;
  -1.71203306e-01 -5.32003624e+00;
  -2.25240773e+00 -1.16317335e+00;
  -2.47326884e+00 -1.66599897e+00;
   5.49826086e-01 -2.50543144e+00;
  -2.36527125e+00  8.07161134e-01;
  -3.93895934e-01 -5.80316750e+00;
  -3.31056554e+00  1.75961361e+00;
   1.57326983e+00 -1.31027544e+00;
  -4.02461902e+00 -1.07018587e+00;
  -1.22315882e+00 -8.01559889e+00;
   1.30912649e+00 -8.90928457e-01;
  -3.22026498e+00  7.08465261e-01;
  -2.65426683e+00 -7.89058781e+00;
   1.15162095e+00 -2.66884168e+00;
  -3.31046824e+00 -5.30074257e+00;
   3.62129153e-02 -8.10334726e+00;
  -1.50559630e+00 -7.28637751e+00;
  -6.51928148e-01 -2.60527334e+00;
  -1.75802449e+00 -5.45946785e+00;
   2.45878761e+00 -3.00354772e-01;
  -2.21946041e+00 -4.65460603e-01;
  -3.63810266e+00  6.69985751e-01;
  -6.37979304e-01 -2.67666446e+00;
  -2.79089229e+00 -7.02142026e+00;
  -1.79115073e+00 -7.65767489e+00;
  -2.48530430e+00 -3.94786559e-02;
  -2.38011983e-01 -1.86779467e+00;
  -2.75035993e+00  8.48100254e-01;
  -4.81942650e-01 -2.95829862e+00;
  -2.67173968e+00  9.94724180e-01;
  -2.43964007e+00 -6.50265232e+00;
  -2.68082940e+00  7.32057568e-01;
   8.23773541e-01 -2.50621812e+00;
  -2.10742824e-01 -1.09577507e+00;
   2.68522332e+00 -2.13114739e+00;
  -1.16280456e-02 -3.85379946e-01;
  -2.53357329e+00 -6.76139052e+00;
  -2.23618987e+00 -2.54608941e-01;
  -3.26581097e+00 -1.10795690e+00;
  -2.23002662e+00 -6.61502251e+00;
  -2.05435230e+00 -7.31125430e+00;
  -3.67700418e+00 -7.73707586e+00;
   2.13877062e+00 -3.26264476e+00;
   1.96413377e-03 -1.98567261e+00;
   1.21396989e+00 -1.17044169e+00;
  -1.84314376e+00 -5.55427351e+00;
   1.35262084e+00 -1.63155409e+00;
  -2.51094708e+00 -1.18010652e+00;
  -4.54590117e+00  8.82087608e-01;
  -3.20371947e+00 -4.65152957e+00;
  -7.92884501e-01 -9.16410196e-01;
   9.91342110e-01 -1.60593880e+00;
  -1.44044780e+00 -5.75311077e+00]
